,0
birch_creek_ak,481.0
scammon_bay_ak,474.0
shageluk_ak,83.0
st_michael_ak,31535.0
alakanuk_ak,677.0
skwentna_ak,37.0
tyonek_ak,171.0
granite_point_ak,1930.0
hughes_ak,77.0
colorado_creek_ak,481.0
vieques_pr,1938.0
cortez_co,8482.0
moab_ut,5046.0
peach_springs_az,2033.0
page_az,7247.0
monument_valley_ut,129480.0
oscoda_mi,1826.0
hollister_ca,34928.0
hoquiam_wa,8726.0
mccook_ne,7698.0
ogallala_ne,4737.0
petaluma_ca,57941.0
greenville_sc,58409.0
lawrenceville_ga,28546.0
camarillo_ca,65201.0
carlsbad_ca,105328.0
westhampton_ny,3079.0
telluride_co,2325.0
el_dorado_ar,18884.0
hoonah_ak,920.0
mountain_home_id,14206.0
crestview_fl,20978.0
jackson_ms,173514.0
mount_vernon_il,54167.0
san_marcos_tx,1327407.0
reading_pa,88082.0
gleneden_or,
biloxi_ms,44054.0
concord_nc,79066.0
hattiesburglaurel_ms,45989.0
moser_bay_ak,
seal_bay_ak,
hollis_ak,112.0
cape_romanzof_ak,
eagle_ak,86.0
cape_newenham_ak,
hog_river_ak,54.0
cape_lisburne_ak,
sparrevohn_ak,
tatalina_ak,
tin_city_ak,
manley_hot_springs_ak,131.0
trading_bay_ak,
koyukuk_ak,583.0
donlin_creek_mine_ak,481.0
haines_ak,1713.0
ganes_creek_ak,481.0
arlington_tx,365438.0
nelson_lagoon_ak,78.0
fort_huachuca_az,14364.0
new_iberia_la,343829.0
whale_pass_ak,324.0
huron_sd,12592.0
big_creek_ak,591.0
elfin_cove_ak,938.0
bremerton_wa,37729.0
tenakee_ak,131.0
auburn_in,12731.0
mt_clemens_mi,16314.0
palmer_ak,5937.0
chenega_ak,
south_naknek_ak,544.0
port_lions_ak,194.0
athens_ga,
tacoma_wa,198397.0
murrietatemecula_ca,103466.0
zachar_bay_ak,
kulik_lake_ak,
petrof_point_ak,1930.0
port_bailey_ak,
venetie_ak,166.0
wilmington_de,70851.0
lawtonfort_sill_ok,96867.0
st_joseph_mo,319294.0
edwards_ca,2063.0
rivertonlander_wy,10615.0
teller_ak,229.0
pope_vanoy_ak,
carbondale_il,25902.0
dahl_creek_ak,481.0
rampart_ak,24.0
st_james_mi,10994.0
clinton_ok,9033.0
porterville_ca,54165.0
fort_collinsloveland_co,143986.0
fort_drum_ny,10008.0
dodge_city_ks,27340.0
goshen_in,31719.0
kaneohe_hi,
pedro_bay_ak,42.0
athens_tn,13458.0
west_point_ak,1930.0
manhattanft_riley_ks,52281.0
funter_bay_alaska_ak,291826.0
ardmore_ok,24283.0
takotna_ak,52.0
astoriaseaside_or,9477.0
beloitjanesville_wi,63575.0
kenansville_nc,855.0
uvalde_tx,15751.0
ouzinkie_ak,161.0
larsen_bay_ak,87.0
port_alsworth_ak,159.0
stillwater_ok,45688.0
togiak_ak,817.0
hopkinsville_ky,31577.0
igiugig_ak,50.0
olga_bay_ak,
atwater_ca,28168.0
hays_ks,20510.0
alliance_ne,8491.0
woodlake_ca,7279.0
elizabeth_island_ak,
rome_ga,36303.0
kitoi_bay_ak,
gadsden_al,36856.0
niagara_falls_ny,50193.0
klawock_ak,755.0
diomede_island_ak,115.0
crossville_tn,10795.0
macon_ga,91351.0
pilot_point_ak,1930.0
patuxent_river_md,25191.0
marinette_mi,
shenandoah_ia,5150.0
oxford_ms,18916.0
talladega_al,15676.0
manokotak_ak,442.0
sheridan_wy,17444.0
international_seafoods_ak,
chignik_lagoon_ak,91.0
danville_ky,16218.0
bryce_canyon_ut,198.0
chignik_bay_ak,91.0
chalkyitsik_ak,69.0
chomondely_sound_ak,
thorne_bay_ak,471.0
show_low_az,10660.0
racine_wi,78860.0
jackson_tn,65211.0
kanab_ut,4312.0
midway_island_tt,
clarks_point_ak,1930.0
farewell_ak,
umiat_ak,
muncieandersonnewcastle_in,70085.0
decatur_al,55683.0
findlay_oh,41202.0
kingman_az,28068.0
craig_ak,1201.0
ekwok_ak,115.0
nyac_ak,
pogo_mines_ak,
anniston_al,23106.0
amook_bay_ak,
lakeport_ca,54165.0
metlakatla_ak,1405.0
big_mountain_ak,813.0
marana_az,34961.0
monticello_ut,1972.0
chadron_ne,5851.0
new_stuyahok_ak,510.0
roxboro_nc,8362.0
chemehuevi_valley_ca,193365.0
port_huron_mi,30184.0
nikolai_ak,94.0
camp_douglas_wi,3665.0
angoon_ak,920.0
conroe_tx,56207.0
flat_ak,
tupelo_ms,34546.0
tunica_ms,1035.0
lake_city_fl,821784.0
mansfield_oh,47821.0
borniteruby_creek_ak,481.0
king_cove_ak,938.0
healy_ak,1021.0
koliganek_ak,209.0
nondalton_ak,164.0
bear_fish_camp_ak,
ugashik_ak,12.0
little_squaw_ak,
bartletts_ak,
westfield_ma,41094.0
broomfield_co,55889.0
bloomington_in,80405.0
hickory_nc,40010.0
keyes_point_ak,1930.0
waukegan_il,89078.0
marietta_ga,56579.0
columbia_tn,34681.0
clifton_az,3311.0
safford_az,9566.0
whitmore_az,
ames_ia,58965.0
east_hampton_ny,13603.0
newport_ri,24672.0
rockland_me,7297.0
roche_harbor_wa,22075.0
hilton_head_sc,37099.0
karluk_ak,37.0
twin_hills_ak,
akhiok_ak,71.0
coldfoot_ak,10.0
pelican_ak,88.0
annapolis_md,38394.0
waterfall_ak,
edna_bay_ak,42.0
granite_creek_mine_ak,481.0
norwood_ma,28602.0
chandalar_ak,
chignik_ak,91.0
naknek_ak,544.0
levelock_ak,69.0
kokhanok_ak,170.0
dora_bay_ak,
big_delta_ak,2251.0
westerly_ri,17936.0
waterbury_ct,110366.0
kenmore_wa,20460.0
kasaan_ak,49.0
prospect_creek_ak,481.0
st_augustine_fl,12975.0
smith_cove_ak,938.0
port_protection_ak,
anacortes_wa,15778.0
owensboro_ky,57265.0
michellville_md,
morristown_nj,18411.0
perryville_ak,113.0
minchumina_ak,13.0
long_island_ak,
danger_bay_ak,
hallo_bay_ak,
bullhead_city_az,39540.0
prescott_az,39843.0
circle_ak,104.0
coffee_point_ak,1930.0
westsound_wa,
beverly_ma,39502.0
devils_lake_nd,7141.0
skaneateles_ny,2450.0
grace_harbor_ak,218.0
wildman_creek_ak,481.0
edgartown_ma,
sitkinak_ak,
renton_wa,90927.0
kalaupapa_hi,
port_graham_ak,177.0
alamogordo_nm,30403.0
sequim_wa,6606.0
new_londongroton_ct,129779.0
north_kingstown_ri,
council_ak,
lebanon-hanover_nh,13151.0
carlsbad_nm,26138.0
meyers_chuck_ak,
willow_ak,2102.0
deadmans_bay_ak,
old_harbor_ak,218.0
chignik_lake_ak,91.0
false_pass_ak,324.0
schenectady_ny,66135.0
brooks_lodge_ak,
lopez_island_wa,
fort_glenn_ak,583.0
port_clarence_ak,
plainville_ct,
fishers_island_ny,236.0
lake_placid_ny,2521.0
oak_harbor_wa,22075.0
sugar_land_tx,78817.0
hyder_ak,87.0
bradley_lake_ak,
drift_river_ak,54.0
saltery_cove_ak,938.0
aiken_sc,29524.0
nashua_nh,86494.0
montague_ma,
berlin_nj,7588.0
kamuela_hi,
caldwell_nj,7822.0
oxford_nc,8461.0
harbor_springs_mi,10038.0
chatham_ma,1421.0
hamilton_ny,4239.0
blakely_island_wa,
telida_ak,
danbury_ct,80893.0
keene_nh,23409.0
linden_nj,40499.0
montpelierbarre_vt,9052.0
santa_fe_nm,67947.0
sedona_az,10031.0
hibbing_mn,16361.0
bridgeport_ct,144229.0
ironwood_mi,5387.0
port_townsend_wa,9113.0
naples_fl,19537.0
moses_point_ak,1930.0
kavik_river_ak,54.0
northeast_cape_ak,
coal_bay_ak,
nebraska_ne,7289.0
shelby_nc,20323.0
petersburg_wv,2467.0
saranac_lakelake_placid_ny,5406.0
aurora_co,325078.0
hiawatha_ks,3172.0
wendover_ut,1400.0
rogers_ar,55964.0
waukesha_wi,70718.0
north_adams_ma,13708.0
washington_pa,13663.0
lik_camp_ak,
granite_mountain_ak,813.0
candle_ak,
lawrence_ma,76377.0
rutland_vt,16495.0
sanford_me,9761.0
saratoga_springs_ny,26586.0
port_orchard_wa,19556.0
georgetown_de,6422.0
